,Id,Title,Ww_gross,Dom_gross,Fore_gross,Year,Descriptions,Rating_cnt,Best_rating,Worst_rating,Rating_value,Content_rating,Release,Keywords,Runtime,Genre1,Genre2,Genre3,Actor1,Actor2,Actor3,Director1,Director2,Director3,Creator1,Creator2,Creator3
0,tt0499549,Avatar,2923706026,785221649,2138484377,2009,""": null,
  ",1342121,10,1,7.9,PG-13,2009-12-18," paraplegic,spiritualism,marine,future,forest protection",2H42M,"""Action""","""Adventure""","""Fantasy""","""SamWorthington""","""ZoeSaldana""","""SigourneyWeaver""","""JamesCameron""",,,"""JamesCameron""",,
1,tt4154796,Avengers: Endgame,2799439100,858373000,1941066100,2019,""": null,
  ",1179887,10,1,8.4,PG-13,2019-04-26," time travel,superhero,super villain,cosmic,marvel cinematic universe",3H1M,"""Action""","""Adventure""","""Drama""","""RobertDowneyJr.""","""ChrisEvans""","""MarkRuffalo""","""AnthonyRusso""","""JoeRusso""",,"""ChristopherMarkus""","""StephenMcFeely""","""StanLee"""
2,tt1630029,Avatar: The Way of Water,2320250281,684075767,1636174514,2022,""": null,
  ",385635,10,1,7.7,PG-13,2022-12-16," underwater,ocean,jungle,water,second part",3H12M,"""Action""","""Adventure""","""Fantasy""","""SamWorthington""","""ZoeSaldana""","""SigourneyWeaver""","""JamesCameron""",,,"""JamesCameron""","""RickJaffa""","""AmandaSilver"""
3,tt0120338,Titanic,2264743305,674292608,1590450697,1997,""": ""A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."",
  ",1219251,10,1,7.9,PG-13,1997-12-19," iceberg,sunken ship,drowning,sailor&apos;s death,violence",3H14M,"""Drama""","""Romance""",,"""LeonardoDiCaprio""","""KateWinslet""","""BillyZane""","""JamesCameron""",,,"""JamesCameron""",,
4,tt2488496,Star Wars: Episode VII - The Force Awakens,2071310218,936662225,1134647993,2015,""": ""As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."",
  ",947338,10,1,7.8,PG-13,2015-12-18," crash landing,reboot,actor reprises previous role,hatred,death",2H18M,"""Action""","""Adventure""","""Sci-Fi""","""DaisyRidley""","""JohnBoyega""","""OscarIsaac""","""J.J.Abrams""",,,"""LawrenceKasdan""","""J.J.Abrams""","""MichaelArndt"""
5,tt4154756,Avengers: Infinity War,2052415039,678815482,1373599557,2018,""": ""The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."",
  ",1123271,10,1,8.4,PG-13,2018-04-27," superhero,death of recurring character,supervillain,ensemble cast,marvel cinematic universe",2H29M,"""Action""","""Adventure""","""Sci-Fi""","""RobertDowneyJr.""","""ChrisHemsworth""","""MarkRuffalo""","""AnthonyRusso""","""JoeRusso""",,"""ChristopherMarkus""","""StephenMcFeely""","""StanLee"""
6,tt10872600,Spider-Man: No Way Home,1921847111,814115070,1107732041,2021,""": ""With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."",
  ",796933,10,1,8.2,PG-13,2021-12-17," spider man character,superhero,marvel cinematic universe,multiverse,green goblin character",2H28M,"""Action""","""Adventure""","""Fantasy""","""TomHolland""","""Zendaya""","""BenedictCumberbatch""","""JonWatts""",,,"""ChrisMcKenna""","""ErikSommers""","""StanLee"""
7,tt0369610,Jurassic World,1671537444,653406625,1018130819,2015,""": null,
  ",656929,10,1,6.9,PG-13,2015-06-12," dinosaur,velociraptor,theme park,disaster film,experiment gone wrong",2H4M,"""Action""","""Adventure""","""Sci-Fi""","""ChrisPratt""","""BryceDallasHoward""","""TySimpkins""","""ColinTrevorrow""",,,"""RickJaffa""","""AmandaSilver""","""ColinTrevorrow"""
8,tt6105098,The Lion King,1663075401,543638043,1119437358,2019,""": ""After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."",
  ",254020,10,1,6.8,PG,2019-07-19," remake of remake,remake,lion,warthog,meerkat",1H58M,"""Animation""","""Adventure""","""Drama""","""DonaldGlover""","""Beyonc\\u00e9""","""SethRogen""","""JonFavreau""",,,"""JeffNathanson""","""IreneMecchi""","""JonathanRoberts"""
9,tt0848228,The Avengers,1520538536,623357910,897180626,2012,""": ""Earth&apos;s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."",
  ",1417159,10,1,8.0,PG-13,2012-05-04," superhero,marvel cinematic universe,avengers,alien invasion,s.h.i.e.l.d.",2H23M,"""Action""","""Sci-Fi""",,"""RobertDowneyJr.""","""ChrisEvans""","""ScarlettJohansson""","""JossWhedon""",,,"""JossWhedon""","""ZakPenn""",
10,tt2820852,Furious 7,1515341399,353007020,1162334379,2015,""": ""Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."",
  ",400479,10,1,7.1,PG-13,2015-04-03," revenge,car falling off a cliff,hospital,star died before release,bulletproof vest",2H17M,"""Action""","""Crime""","""Thriller""","""VinDiesel""","""PaulWalker""","""DwayneJohnson""","""JamesWan""",,,"""ChrisMorgan""","""GaryScottThompson""",
11,tt1745960,Top Gun: Maverick,1493491858,718732821,774759037,2022,""": null,
  ",589333,10,1,8.3,PG-13,2022-05-27," fighter jet,aircraft carrier,dogfight,sequel,naval aviation",2H10M,"""Action""","""Drama""",,"""TomCruise""","""JenniferConnelly""","""MilesTeller""","""JosephKosinski""",,,"""JimCash""","""JackEppsJr.""","""PeterCraig"""
12,tt4520988,Frozen II,1453683476,477373578,976309898,2019,""": ""Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa&apos;s powers in order to save their kingdom."",
  ",181281,10,1,6.8,PG,2019-11-22," autumn,anthropomorphic snowman,magic,female protagonist,salamander",1H43M,"""Animation""","""Adventure""","""Comedy""","""KristenBell""","""IdinaMenzel""","""JoshGad""","""ChrisBuck""","""JenniferLee""",,"""JenniferLee""","""HansChristianAndersen""","""ChrisBuck"""
